id,dealer_id,make,model,variant,price_eur_cents,year,mileage_km,fuel_type,transmission,body_type,power_kw,color,equipment,description,status,created_at
20000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000004,Mercedes-Benz,C-Class,C 200 Avantgarde,3099000,2021,49000,petrol,automatic,sedan,150,silver,"[""navigation"", ""parking package"", ""heated seats"", ""digital cockpit""]","2021 Mercedes-Benz C-Class C 200 Avantgarde in silver. The vehicle has 49,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: navigation, parking package, heated seats, digital cockpit. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000002,Mercedes-Benz,C-Class,C 220 d Estate,3399000,2022,58000,diesel,automatic,estate,147,black,"[""adaptive cruise control"", ""navigation"", ""tow bar"", ""rear camera""]","2022 Mercedes-Benz C-Class C 220 d Estate in black. The vehicle has 58,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, tow bar, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000003,Tesla,Model 3,Long Range AWD,3290000,2021,68000,electric,automatic,sedan,366,white,"[""autopilot"", ""heated seats"", ""glass roof"", ""navigation""]","2021 Tesla Model 3 Long Range AWD in white. The vehicle has 68,000 km, a electric powertrain and automatic transmission. Highlighted equipment: autopilot, heated seats, glass roof, navigation. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000003,Tesla,Model 3,Standard Range Plus,2799000,2020,74000,electric,automatic,sedan,208,red,"[""autopilot"", ""rear camera"", ""heated seats"", ""navigation""]","2020 Tesla Model 3 Standard Range Plus in red. The vehicle has 74,000 km, a electric powertrain and automatic transmission. Highlighted equipment: autopilot, rear camera, heated seats, navigation. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000015,10000000-0000-0000-0000-000000000003,Hyundai,Kona,Electric 64 kWh,2549000,2021,43000,electric,automatic,suv,150,blue,"[""adaptive cruise control"", ""heat pump"", ""navigation"", ""rear camera""]","2021 Hyundai Kona Electric 64 kWh in blue. The vehicle has 43,000 km, a electric powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, heat pump, navigation, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000016,10000000-0000-0000-0000-000000000003,Kia,Niro,EV Spirit,2699000,2022,35000,electric,automatic,suv,150,grey,"[""adaptive cruise control"", ""heat pump"", ""navigation"", ""heated seats""]","2022 Kia Niro EV Spirit in grey. The vehicle has 35,000 km, a electric powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, heat pump, navigation, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000017,10000000-0000-0000-0000-000000000003,Volvo,XC40,Recharge Pure Electric,3599000,2022,39000,electric,automatic,suv,300,black,"[""pilot assist"", ""panoramic roof"", ""360 camera"", ""heated seats""]","2022 Volvo XC40 Recharge Pure Electric in black. The vehicle has 39,000 km, a electric powertrain and automatic transmission. Highlighted equipment: pilot assist, panoramic roof, 360 camera, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000018,10000000-0000-0000-0000-000000000002,Skoda,Octavia,2.0 TDI Style,2299000,2021,79000,diesel,automatic,estate,110,silver,"[""adaptive cruise control"", ""navigation"", ""tow bar"", ""parking sensors""]","2021 Skoda Octavia 2.0 TDI Style in silver. The vehicle has 79,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, tow bar, parking sensors. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000019,10000000-0000-0000-0000-000000000001,Skoda,Octavia,1.5 TSI Ambition,2190000,2022,47000,petrol,manual,estate,110,blue,"[""cruise control"", ""navigation"", ""parking sensors"", ""Apple CarPlay""]","2022 Skoda Octavia 1.5 TSI Ambition in blue. The vehicle has 47,000 km, a petrol powertrain and manual transmission. Highlighted equipment: cruise control, navigation, parking sensors, Apple CarPlay. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000020,10000000-0000-0000-0000-000000000005,Toyota,Corolla,1.8 Hybrid Touring Sports,2399000,2022,42000,hybrid,automatic,estate,90,white,"[""adaptive cruise control"", ""lane assist"", ""rear camera"", ""heated seats""]","2022 Toyota Corolla 1.8 Hybrid Touring Sports in white. The vehicle has 42,000 km, a hybrid powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, lane assist, rear camera, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000021,10000000-0000-0000-0000-000000000001,Toyota,Corolla,2.0 Hybrid Lounge,2649000,2023,26000,hybrid,automatic,hatchback,135,red,"[""adaptive cruise control"", ""head-up display"", ""navigation"", ""heated seats""]","2023 Toyota Corolla 2.0 Hybrid Lounge in red. The vehicle has 26,000 km, a hybrid powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, head-up display, navigation, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000022,10000000-0000-0000-0000-000000000005,Ford,Focus,1.5 EcoBlue Titanium,1849000,2020,76000,diesel,manual,estate,88,grey,"[""cruise control"", ""navigation"", ""parking sensors"", ""heated windshield""]","2020 Ford Focus 1.5 EcoBlue Titanium in grey. The vehicle has 76,000 km, a diesel powertrain and manual transmission. Highlighted equipment: cruise control, navigation, parking sensors, heated windshield. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000023,10000000-0000-0000-0000-000000000002,Ford,Kuga,2.5 Plug-in Hybrid ST-Line,2999000,2022,38000,plug-in hybrid,automatic,suv,165,black,"[""adaptive cruise control"", ""rear camera"", ""heated seats"", ""navigation""]","2022 Ford Kuga 2.5 Plug-in Hybrid ST-Line in black. The vehicle has 38,000 km, a plug-in hybrid powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, rear camera, heated seats, navigation. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000024,10000000-0000-0000-0000-000000000003,Renault,Zoe,R135 ZE50,1799000,2021,34000,electric,automatic,hatchback,100,white,"[""heat pump"", ""navigation"", ""rear camera"", ""heated seats""]","2021 Renault Zoe R135 ZE50 in white. The vehicle has 34,000 km, a electric powertrain and automatic transmission. Highlighted equipment: heat pump, navigation, rear camera, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000025,10000000-0000-0000-0000-000000000002,Peugeot,3008,Hybrid 225 GT,3049000,2022,41000,plug-in hybrid,automatic,suv,165,blue,"[""adaptive cruise control"", ""navigation"", ""rear camera"", ""panoramic roof""]","2022 Peugeot 3008 Hybrid 225 GT in blue. The vehicle has 41,000 km, a plug-in hybrid powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, rear camera, panoramic roof. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000026,10000000-0000-0000-0000-000000000005,Opel,Astra,1.2 Turbo Elegance,1890000,2022,29000,petrol,manual,hatchback,96,silver,"[""navigation"", ""parking sensors"", ""heated seats"", ""lane assist""]","2022 Opel Astra 1.2 Turbo Elegance in silver. The vehicle has 29,000 km, a petrol powertrain and manual transmission. Highlighted equipment: navigation, parking sensors, heated seats, lane assist. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000027,10000000-0000-0000-0000-000000000001,Seat,Leon,1.5 eTSI FR,2299000,2022,36000,mild hybrid,automatic,hatchback,110,red,"[""adaptive cruise control"", ""navigation"", ""sports seats"", ""rear camera""]","2022 Seat Leon 1.5 eTSI FR in red. The vehicle has 36,000 km, a mild hybrid powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, sports seats, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000028,10000000-0000-0000-0000-000000000004,Cupra,Formentor,1.5 TSI,2899000,2022,44000,petrol,automatic,suv,110,grey,"[""adaptive cruise control"", ""navigation"", ""rear camera"", ""sports seats""]","2022 Cupra Formentor 1.5 TSI in grey. The vehicle has 44,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, rear camera, sports seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000029,10000000-0000-0000-0000-000000000005,Mazda,CX-5,2.0 Skyactiv-G,2749000,2021,51000,petrol,automatic,suv,121,red,"[""adaptive cruise control"", ""navigation"", ""rear camera"", ""heated seats""]","2021 Mazda CX-5 2.0 Skyactiv-G in red. The vehicle has 51,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, rear camera, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000030,10000000-0000-0000-0000-000000000001,Honda,Civic,1.5 VTEC Turbo Sport,2349000,2020,54000,petrol,manual,hatchback,134,blue,"[""adaptive cruise control"", ""navigation"", ""rear camera"", ""heated seats""]","2020 Honda Civic 1.5 VTEC Turbo Sport in blue. The vehicle has 54,000 km, a petrol powertrain and manual transmission. Highlighted equipment: adaptive cruise control, navigation, rear camera, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000031,10000000-0000-0000-0000-000000000002,Nissan,Qashqai,1.3 DIG-T N-Connecta,2499000,2022,33000,petrol,automatic,suv,116,black,"[""adaptive cruise control"", ""360 camera"", ""navigation"", ""heated seats""]","2022 Nissan Qashqai 1.3 DIG-T N-Connecta in black. The vehicle has 33,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, 360 camera, navigation, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000032,10000000-0000-0000-0000-000000000003,Polestar,2,Long Range Dual Motor,3699000,2022,37000,electric,automatic,hatchback,300,grey,"[""pilot pack"", ""panoramic roof"", ""360 camera"", ""navigation""]","2022 Polestar 2 Long Range Dual Motor in grey. The vehicle has 37,000 km, a electric powertrain and automatic transmission. Highlighted equipment: pilot pack, panoramic roof, 360 camera, navigation. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000033,10000000-0000-0000-0000-000000000003,Volkswagen,ID.4,Pro Performance,3199000,2022,45000,electric,automatic,suv,150,white,"[""adaptive cruise control"", ""heat pump"", ""navigation"", ""rear camera""]","2022 Volkswagen ID.4 Pro Performance in white. The vehicle has 45,000 km, a electric powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, heat pump, navigation, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000034,10000000-0000-0000-0000-000000000002,Volkswagen,Passat,2.0 TDI Business,2449000,2021,81000,diesel,automatic,estate,110,black,"[""adaptive cruise control"", ""navigation"", ""tow bar"", ""heated seats""]","2021 Volkswagen Passat 2.0 TDI Business in black. The vehicle has 81,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, tow bar, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000035,10000000-0000-0000-0000-000000000004,Mercedes-Benz,E-Class,E 220 d Estate,3899000,2021,73000,diesel,automatic,estate,143,silver,"[""adaptive cruise control"", ""navigation"", ""360 camera"", ""heated seats""]","2021 Mercedes-Benz E-Class E 220 d Estate in silver. The vehicle has 73,000 km, a diesel powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, navigation, 360 camera, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000036,10000000-0000-0000-0000-000000000004,BMW,X1,sDrive18i,2899000,2021,48000,petrol,automatic,suv,100,white,"[""navigation"", ""parking assistant"", ""heated seats"", ""LED headlights""]","2021 BMW X1 sDrive18i in white. The vehicle has 48,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: navigation, parking assistant, heated seats, LED headlights. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000037,10000000-0000-0000-0000-000000000001,Audi,Q3,35 TFSI,3090000,2021,44000,petrol,automatic,suv,110,blue,"[""adaptive cruise control"", ""virtual cockpit"", ""navigation"", ""rear camera""]","2021 Audi Q3 35 TFSI in blue. The vehicle has 44,000 km, a petrol powertrain and automatic transmission. Highlighted equipment: adaptive cruise control, virtual cockpit, navigation, rear camera. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000038,10000000-0000-0000-0000-000000000005,Dacia,Duster,TCe 130 Prestige,1649000,2021,50000,petrol,manual,suv,96,orange,"[""navigation"", ""rear camera"", ""parking sensors"", ""cruise control""]","2021 Dacia Duster TCe 130 Prestige in orange. The vehicle has 50,000 km, a petrol powertrain and manual transmission. Highlighted equipment: navigation, rear camera, parking sensors, cruise control. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000039,10000000-0000-0000-0000-000000000001,Volkswagen,Golf,1.5 TSI Life,1845000,2021,69000,petrol,manual,hatchback,96,white,"[""cruise control"", ""navigation"", ""parking sensors"", ""heated seats""]","2021 Volkswagen Golf 1.5 TSI Life in white. The vehicle has 69,000 km, a petrol powertrain and manual transmission. Highlighted equipment: cruise control, navigation, parking sensors, heated seats. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",sold,2026-07-25T12:00:00Z
20000000-0000-0000-0000-000000000040,10000000-0000-0000-0000-000000000003,Tesla,Model Y,Long Range AWD,3999000,2022,52000,electric,automatic,suv,378,black,"[""autopilot"", ""heated seats"", ""glass roof"", ""navigation""]","2022 Tesla Model Y Long Range AWD in black. The vehicle has 52,000 km, a electric powertrain and automatic transmission. Highlighted equipment: autopilot, heated seats, glass roof, navigation. Dummy listing created for the AI vehicle-search interview project; no real vehicle is being offered.",active,2026-07-25T12:00:00Z
